the_geom,Borough,Feat_Type,OfficialNM,Honor_Name,Old_Name,ULURPCPNUM,Intro_NUM,Intro_Year,IntroMonth,Intro_Day,LL_NUM,LL_SEC,LL_Type,LLEffectDT,LL_Limits,Limits_ER,Repealed,Repeal_DT,Amended,Amend_DT,Amendt_TXT,AMDYRLLSEC
POINT (-73.83044606919134 40.66044128737891),Queens,Corner name,None,159th Avenue,None,none,0471,2004,10,13,063,33,Honorary,12/21/2004,the southeast corner of the intersection of 159th Avenue and Coleman Square,,No,,No,,,
POINT (-74.0906847384251 40.6384988099919),Staten Island,Corner name,None,Joanne K. Caputo Court,None,none,0471,2004,10,13,063,55,Honorary,12/21/2004,the southeast corner of the intersection of Franklin Avenue and Arnold Street,,No,,No,,,
POINT (-74.10967570384454 40.628633486333314),Staten Island,Corner name,None,WWII Medal of Honor Recipient PVT. Joseph F. Merrell Jr. Way,None,none,0471,2004,10,13,063,58,Honorary,12/21/2004,the southeast corner of the intersection of Morrison Avenue and Oakland Avenue,,No,,No,,,
POINT (-73.91979744254155 40.8679658599317),Manhattan,Corner name,None,Inwood’s Heroes of 9/11 Way,None,none,0471,2004,10,13,063,21,Honorary,12/21/2004,the southwest corner of the intersection of Isham Street and Broadway,,No,,No,,,
POINT (-74.24624768356819 40.50404540096424),Staten Island,Corner name,None,Mario Nardone Jr. Street,None,none,0471,2004,10,13,063,26,Honorary,12/21/2004,the northwest corner of the intersection of Swinnerton Street and Hylan Boulevard,,No,,No,,,
POINT (-74.0959828757926 40.63161941660735),Staten Island,Corner name,None,World War II Veterans Pathway,None,none,0471,2004,10,13,063,57,Honorary,12/21/2004,the southwest corner of the intersection of Forest Avenue and Silver Lake Park Road,,No,,No,,,
POINT (-73.91713213929378 40.87014609481739),Manhattan,Corner name,None,John Patrick Burnside Way,None,none,0471,2004,10,13,063,20,Honorary,12/21/2004,the southwest corner of the intersection of Park Terrace East and 215th Street,,No,,No,,,
POINT (-73.93979603774648 40.58956559281211),Brooklyn,Intersection name,None,Lt. Dennis Mojica Corner,None,none,0471,2004,10,13,063,30,Honorary,12/21/2004,the intersection of Nostrand Avenue and Avenue Z,,No,,No,,,
POINT (-74.01420288402991 40.620684743534504),Brooklyn,Intersection name,None,Robert F. Tipaldi 9/11 Memorial Way,None,none,0471,2004,10,13,063,16,Honorary,12/21/2004,the intersection of 79th Street and 11th Avenue,,No,,No,,,
POINT (-74.23010635013658 40.50758901817772),Staten Island,Corner name,None,Firefighter Jeffery Giordano Boulevard,None,none,0318,2002,12,4,006,23,Honorary,01/07/2003,the southwest corner of the intersection of Hylan Boulevard and Page Avenue,,No,,No,,,
POINT (-74.19275733195838 40.53353272927396),Staten Island,Corner name,None,"Lt. Jeffrey P. Walz, FDNY Avenue",None,none,0318,2002,12,4,006,26,Honorary,01/07/2003,the southwest corner of the intersection of Huguenot Avenue and Hawley Avenue,,No,,No,,,
POINT (-74.16141732808592 40.61281371452281),Staten Island,Corner name,None,John J. Badagliacca Place,None,none,0318,2002,12,4,006,36,Honorary,01/07/2003,the northeast corner of the intersection of Renee Place and Hellman Avenue,,No,,No,,,
POINT (-74.10446035734029 40.634768105136565),Staten Island,Corner name,None,Firefighter John A. Santore Way,None,none,0318,2002,12,4,006,37,Honorary,01/07/2003,the northeast corner of the intersection of Kissel Avenue and Castleton Avenue,,No,,No,,,
POINT (-74.1193165709147 40.61491205380168),Staten Island,Corner name,None,Firefighter Peter J. Carroll Way,None,none,0318,2002,12,4,006,39,Honorary,01/07/2003,the southeast corner of the intersection of Dongan Avenue and Hodges Place,,Yes,6/3/2003,No,,,
POINT (-74.09940246132787 40.63127161468185),Staten Island,Corner name,None,Lee Ludwig Way,None,none,0318,2002,12,4,006,40,Honorary,01/07/2003,the southeast corner of the intersection of University Place and Forest Avenue,,No,,No,,,
POINT (-74.13723951750256 40.5580130019668),Staten Island,Corner name,None,Firefighter Carl V. Bini Way,None,none,0318,2002,12,4,006,41,Honorary,01/07/2003,the southeast corner of the intersection of Justin Avenue and Amboy Road,,No,,No,,,
POINT (-74.11869613591303 40.61716586973856),Staten Island,Corner name,None,Firefighter Brian E. Bilcher Way,None,none,0318,2002,12,4,006,46,Honorary,01/07/2003,the northeast corner of the intersection of Potter Avenue and Fairview Avenue,,No,,No,,,
